id,name,pop2018,fips
0500000US13217,"Newton County, Georgia",109541,13217
0500000US13223,"Paulding County, Georgia",164044,13223
0500000US13245,"Richmond County, Georgia",201554,13245
0500000US13247,"Rockdale County, Georgia",90594,13247
0500000US13255,"Spalding County, Georgia",66100,13255
0500000US13285,"Troup County, Georgia",70034,13285
0500000US13295,"Walker County, Georgia",69410,13295
0500000US13297,"Walton County, Georgia",93503,13297
0500000US13313,"Whitfield County, Georgia",104062,13313
0500000US15001,"Hawaii County, Hawaii",200983,15001
0500000US15003,"Honolulu County, Hawaii",980080,15003
0500000US15007,"Kauai County, Hawaii",72133,15007
0500000US15009,"Maui County, Hawaii",167218,15009
0500000US16001,"Ada County, Idaho",469966,16001
0500000US16005,"Bannock County, Idaho",87138,16005
0500000US16019,"Bonneville County, Idaho",116854,16019
0500000US16027,"Canyon County, Idaho",223499,16027
0500000US16055,"Kootenai County, Idaho",161505,16055
0500000US16083,"Twin Falls County, Idaho",86081,16083
0500000US17001,"Adams County, Illinois",65691,17001
0500000US17019,"Champaign County, Illinois",209983,17019
0500000US17031,"Cook County, Illinois",5180493,17031
0500000US17037,"DeKalb County, Illinois",104143,17037
0500000US17043,"DuPage County, Illinois",928589,17043
0500000US17089,"Kane County, Illinois",534216,17089
0500000US17091,"Kankakee County, Illinois",110024,17091
0500000US17093,"Kendall County, Illinois",127915,17093
0500000US17097,"Lake County, Illinois",700832,17097
0500000US17099,"LaSalle County, Illinois",109430,17099
0500000US17111,"McHenry County, Illinois",308570,17111
0500000US17113,"McLean County, Illinois",172828,17113
0500000US17115,"Macon County, Illinois",104712,17115
0500000US17119,"Madison County, Illinois",264461,17119
0500000US17143,"Peoria County, Illinois",180621,17143
0500000US17161,"Rock Island County, Illinois",143477,17161
0500000US17163,"St. Clair County, Illinois",261059,17163
0500000US17167,"Sangamon County, Illinois",195348,17167
0500000US17179,"Tazewell County, Illinois",132328,17179
0500000US17183,"Vermilion County, Illinois",76806,17183
0500000US17197,"Will County, Illinois",692310,17197
0500000US17199,"Williamson County, Illinois",67056,17199
0500000US17201,"Winnebago County, Illinois",284081,17201
0500000US18003,"Allen County, Indiana",375351,18003
0500000US18005,"Bartholomew County, Indiana",82753,18005
0500000US18011,"Boone County, Indiana",66999,18011
0500000US18019,"Clark County, Indiana",117360,18019
0500000US18035,"Delaware County, Indiana",114772,18035
0500000US18039,"Elkhart County, Indiana",205560,18039
0500000US18043,"Floyd County, Indiana",77781,18043
0500000US18053,"Grant County, Indiana",65936,18053
0500000US18057,"Hamilton County, Indiana",330086,18057
0500000US18059,"Hancock County, Indiana",76351,18059
0500000US18063,"Hendricks County, Indiana",167009,18063
0500000US18067,"Howard County, Indiana",82366,18067
0500000US18081,"Johnson County, Indiana",156225,18081
0500000US18085,"Kosciusko County, Indiana",79344,18085
0500000US18089,"Lake County, Indiana",484411,18089
0500000US18091,"LaPorte County, Indiana",110007,18091
0500000US18095,"Madison County, Indiana",129641,18095
0500000US18097,"Marion County, Indiana",954670,18097
0500000US18105,"Monroe County, Indiana",146917,18105
0500000US18109,"Morgan County, Indiana",70116,18109
0500000US18127,"Porter County, Indiana",169594,18127
0500000US18141,"St. Joseph County, Indiana",270771,18141
0500000US18157,"Tippecanoe County, Indiana",193048,18157
0500000US18163,"Vanderburgh County, Indiana",180974,18163
0500000US18167,"Vigo County, Indiana",107386,18167
0500000US18177,"Wayne County, Indiana",65936,18177
0500000US19013,"Black Hawk County, Iowa",132408,19013
0500000US19049,"Dallas County, Iowa",90180,19049
0500000US19061,"Dubuque County, Iowa",96854,19061
0500000US19103,"Johnson County, Iowa",151260,19103
0500000US19113,"Linn County, Iowa",225909,19113
0500000US19153,"Polk County, Iowa",487204,19153
0500000US19155,"Pottawattamie County, Iowa",93533,19155
0500000US19163,"Scott County, Iowa",173283,19163
0500000US19169,"Story County, Iowa",98105,19169
0500000US19193,"Woodbury County, Iowa",102539,19193
0500000US20015,"Butler County, Kansas",66765,20015
0500000US20045,"Douglas County, Kansas",121436,20045
0500000US20091,"Johnson County, Kansas",597555,20091
0500000US20103,"Leavenworth County, Kansas",81352,20103
0500000US20161,"Riley County, Kansas",73703,20161
0500000US20173,"Sedgwick County, Kansas",513607,20173
0500000US20177,"Shawnee County, Kansas",177499,20177
0500000US20209,"Wyandotte County, Kansas",165324,20209
0500000US21015,"Boone County, Kentucky",131533,21015
0500000US21029,"Bullitt County, Kentucky",81069,21029
0500000US21037,"Campbell County, Kentucky",93152,21037
0500000US21047,"Christian County, Kentucky",71671,21047
0500000US21059,"Daviess County, Kentucky",101104,21059
0500000US21067,"Fayette County, Kentucky",323780,21067
0500000US21093,"Hardin County, Kentucky",110356,21093
0500000US21111,"Jefferson County, Kentucky",770517,21111
0500000US21117,"Kenton County, Kentucky",166051,21117
0500000US21145,"McCracken County, Kentucky",65346,21145
0500000US21151,"Madison County, Kentucky",92368,21151
0500000US21185,"Oldham County, Kentucky",66470,21185
0500000US21227,"Warren County, Kentucky",131264,21227
0500000US22005,"Ascension Parish, Louisiana",124672,22005
0500000US22015,"Bossier Parish, Louisiana",127185,22015
0500000US22017,"Caddo Parish, Louisiana",242922,22017
0500000US22019,"Calcasieu Parish, Louisiana",203112,22019
0500000US22033,"East Baton Rouge Parish, Louisiana",440956,22033
0500000US22045,"Iberia Parish, Louisiana",70941,22045
0500000US22051,"Jefferson Parish, Louisiana",434051,22051
0500000US22055,"Lafayette Parish, Louisiana",242782,22055
0500000US22057,"Lafourche Parish, Louisiana",98115,22057
