name,fips,state,checked,03/9/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,totalcases
Hamilton,39061,Ohio,2020-06-20T02:12:24.087Z,0,0,0,0,0,0,0,0,0,0,1,7,8,19,26,38,48,53,63,71,85,101,124,154,178,220,288,319,394,411,437,473,504,529,535,558,576,594,615,658,701,718,735,768,785,868,1005,1005,1048,1091,1150,1218,1297,1353,1380,1434,1480,1527,1572,1664,1731,1757,1823,1859,1886,1927,1961,2007,2047,2082,2138,2167,2228,2279,2349,2403,2458,2492,2523,2555,2603,2642,2672,2698,2721,2739,2767,2811,2831,2860,2891,2918,2975,3078,3078,3185,3185,3250,3316,3374,3508,3634,3634
Hancock,39063,Ohio,2020-06-20T02:12:24.185Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,5,6,8,9,9,11,14,15,17,16,17,20,19,19,20,23,25,27,30,29,30,29,30,32,34,34,35,37,37,37,37,38,38,39,39,39,39,39,39,39,39,39,40,42,44,45,45,46,46,46,47,47,48,48,48,48,48,51,50,50,50,50,51,51,53,53,54,56,58,60,60,61,61,61,61,61,61,61,62,62,62
Hardin,39065,Ohio,2020-06-20T02:12:24.189Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,5,8,11,11,12,13,15,17,17,20,20,20,23,23,22,24,24,25,25,26,26,26,26,26,26,27,27,28,28,28,29,30,29,30,30,30,30,30,33,37,38,40,41,41,41,42,45,60,61,61,61,64,71,73,73,73,76,77,78,87,87,93,93,93,94,96,105,106,106
Harrison,39067,Ohio,2020-06-20T02:12:24.202Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11
Henry,39069,Ohio,2020-06-20T02:12:24.221Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,8,8,8,9,10,10,10,10,10,10,10,12,12,13,13,14,14,15,15,15,15,15,15,15,16,16,17,17,17,19,18,19,19,19,19,19,20,20,20,20,20,21,21,21
Highland,39071,Ohio,2020-06-20T02:12:24.240Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,4,4,4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,11,11,10,10,10,11,11,11,11,11,12,12,12,14,14,14,14,14,16,15,15,16,16,16,18,18,18,19,19,22,23,23,25,25,26,26,26,29,29,29,30,30,31,32,32,34,34,34,34,35,35,37,37
Hocking,39073,Ohio,2020-06-20T02:12:24.256Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,3,4,4,4,4,4,5,5,5,14,14,16,16,16,18,18,19,19,19,19,20,20,20,20,20,22,22,28,29,31,59,61,61,61,63,63,64,64,65,65,69,69,69,69,69,69,69,70,70,70,70,71,71,74,73,73,73,73,73,73,73,73,73,73,73,73
Holmes,39075,Ohio,2020-06-20T02:12:24.262Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,8,8,8,8,10,10,10,11,13,13,15,15,20,22,25,27,28,29,29,32,34,39,43,45,46,54,57,60,68,69,69,72,84,84,87,87,90,92,92,101,109,109
Huron,39077,Ohio,2020-06-20T02:12:24.317Z,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,5,6,6,9,10,9,10,10,15,14,14,14,14,16,16,15,16,20,23,25,24,28,28,29,30,30,29,29,31,31,32,33,34,34,37,38,38,38,39,39,40,39,40,41,42,43,44,46,48,49,52,55,55,55,56,56,57,58,60,60,60,61,61,62,63,63,64,64,72,72,77,77,77,79,81,95,96,96
Jackson,39079,Ohio,2020-06-20T02:12:24.347Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,8,8,8,9,9,10,11,11,11,11,11,11,11,11,11,11,12,12,13,13,14,14,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16
Jefferson,39081,Ohio,2020-06-20T02:12:24.365Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,7,11,11,13,14,14,14,15,15,18,19,20,23,24,24,24,24,24,24,26,28,30,31,31,33,37,37,39,42,43,43,43,43,45,45,46,48,49,50,54,54,56,56,56,58,59,59,61,61,61,62,62,62,62,62,62,63,65,66,67,67,67,67,66,67,67,67,68,68,69,69,69,69,69,70,70,71,71,71,71,74,74
